2021-02-10 | 10:35:37.999 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.latitude: must be greater than or equal to 32
2021-02-10 | 10:35:38.000 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:38.290 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:38.291 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:38.583 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:38.585 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:38.879 | Test worker          | ERROR | .s.c.RestaurantController | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다.
2021-02-10 | 10:35:38.880 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다. :100
2021-02-10 | 10:35:38.881 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:39.167 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.radius: must be less than or equal to 0.02
2021-02-10 | 10:35:39.168 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:39.462 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:39.463 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:39.751 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'radius' is not present
2021-02-10 | 10:35:39.753 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
